,en,pt,pt_BR,de,zh,fr
PLAY,PLAY,JOGAR,JOGAR,SPIELEN,玩,JOUER
SETTINGS,SETTINGS,CONFIGURAÇÕES,CONFIGURAÇÕES,EINSTELLUNGEN,设置,PARAMÈTRES
QUIT,QUIT,DESISTIR,DESISTIR,AUFHÖREN,辞职,QUITTER
BACK,BACK,VOLTAR,VOLTAR,ZURÜCK,后退,DOS
CLOSED ALPHA,CLOSED ALPHA,ALFA FECHADO,ALFA FECHADO,GESCHLOSSENES ALPHA,封闭式 Alpha 测试,ALPHA FERMÉ
"CREATE BY PATOLIZO, 2025","CREATE BY PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","ERSTELLT VON PATOLIZO, 2025",由 PATOLIZO 创作，2025 年,"CRÉÉ PAR PATOLIZO, 2025"
SAVES MANAGER,SAVES MANAGER,GERENTE DE ECONOMIA,GERENTE DE ECONOMIA,SAVES MANAGER,保存经理,GESTIONNAIRE DE SAUVEGARDES
SAVES,SAVES,ECONOMIZA,ECONOMIZA,SPART,保存,ÉCONOMIES
DELETE SAVE,DELETE SAVE,EXCLUIR SALVAR,EXCLUIR SALVAR,LÖSCHEN SPEICHERN,删除 保存,SUPPRIMER ENREGISTRER
CREATE SAVE,CREATE SAVE,CRIAR SALVAR,CRIAR SALVAR,ERSTELLEN SPEICHERN,创建保存,CRÉER ENREGISTRER
SAVE CREATOR,SAVE CREATOR,SALVAR CRIADOR,SALVAR CRIADOR,SPEICHERN DES ERSTELLERS,保存创建者,ENREGISTRER LE CRÉATEUR
NAME,NAME,NOME,NOME,NAME,姓名,NOM
SEED,SEED,SEMENTE,SEMENTE,SAMEN,种子,GRAINE
MAP SIZE,MAP SIZE,TAMANHO DO MAPA,TAMANHO DO MAPA,KARTENGRÖSSE,地图大小,TAILLE DE LA CARTE
DIFFICULTY,DIFFICULTY,DIFICULDADE,DIFICULDADE,SCHWIERIGKEIT,困难,DIFFICULTÉ
CREATE,CREATE,CRIAR,CRIAR,ERSTELLEN,创造,CRÉER
RANDOMIZE,RANDOMIZE,ALEATÓRIO,ALEATÓRIO,ZUFÄLLIG MACHEN,随机化,RANDOMISER
CANCEL,CANCEL,CANCELAR,CANCELAR,STORNIEREN,取消,ANNULER
SMALL,SMALL,PEQUENO,PEQUENO,KLEIN,小的,PETIT
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,普通的,NORMALE
LARGE,LARGE,GRANDE,GRANDE,GROSS,大的,GRAND
EASY,EASY,FÁCIL,FÁCIL,EINFACH,简单的,FACILE
MEDIUM,MEDIUM,MÉDIO,MÉDIO,MEDIUM,中等的,MOYEN
HARD,HARD,DURO,DURO,HART,难的,DUR
HARDCORE,HARDCORE,HARDCORE,HARDCORE,HARDCORE,硬核,HARDCORE
"This game is not a copy of minecraft, terraria is not a copy of minecraft.","This game is not a copy of minecraft, terraria is not a copy of minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Dieses Spiel ist keine Kopie von Minecraft, Terraria ist keine Kopie von Minecraft.",这个游戏不是我的世界的复制品，Terraria 也不是我的世界的复制品。,"Ce jeu n'est pas une copie de Minecraft, Terraria n'est pas une copie de Minecraft."
Progress is the friends we make along the way.,Progress is the friends we make along the way.,O progresso são os amigos que fazemos ao longo do caminho.,O progresso são os amigos que fazemos ao longo do caminho.,"Fortschritt sind die Freunde, die wir auf unserem Weg finden.",进步是我们一路上结交的朋友。,"Le progrès, ce sont les amis que l’on se fait en chemin."
Don't put off until today what you can do tomorrow.,Don't put off until today what you can do tomorrow.,Não deixe para hoje o que você pode fazer amanhã.,Não deixe para hoje o que você pode fazer amanhã.,"Verschieben Sie nicht auf heute, was Sie morgen tun können.",不要把明天能做的事情拖到今天。,Ne remettez pas à aujourd’hui ce que vous pouvez faire demain.
You probably haven't discovered all the secrets of this game yet.,You probably haven't discovered all the secrets of this game yet.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Wahrscheinlich haben Sie noch nicht alle Geheimnisse dieses Spiels entdeckt.,您可能还没有发现这个游戏的所有秘密。,Vous n’avez probablement pas encore découvert tous les secrets de ce jeu.
"Reading is important...books are for reading...someone may have written useful things out there, right?","Reading is important...books are for reading...someone may have written useful things out there, right?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Lesen ist wichtig ... Bücher sind zum Lesen da ... da draußen hat vielleicht jemand nützliche Dinge geschrieben, oder?",阅读很重要...书是用来阅读的...有人可能写了一些有用的东西，对吧？,"La lecture est importante... les livres sont faits pour être lus... quelqu'un a peut-être écrit des choses utiles, n'est-ce pas ?"
"Sleep, eat and hydrate so you don't get sick on your adventures.","Sleep, eat and hydrate so you don't get sick on your adventures.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Schlafen, essen und trinken Sie genug, damit Ihnen bei Ihren Abenteuern nicht schlecht wird.",睡觉、吃饭、补充水分，这样你在冒险途中就不会生病。,"Dormez, mangez et hydratez-vous pour ne pas tomber malade pendant vos aventures."
This game was made by a random guy looking for a game that gives freedom to the player.,This game was made by a random guy looking for a game that gives freedom to the player.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,"Dieses Spiel wurde von einem zufälligen Typen entwickelt, der nach einem Spiel suchte, das dem Spieler Freiheit lässt.",这个游戏是由一个随机的人制作的，他正在寻找一款可以给予玩家自由的游戏。,Ce jeu a été créé par un gars au hasard à la recherche d'un jeu qui donne la liberté au joueur.
Video,Video,Vídeo,Vídeo,Video,视频,Vidéo
WINDOW,WINDOW,JANELA,JANELA,FENSTER,窗户,FENÊTRE
WINDOW MODE,WINDOW MODE,MODO JANELA,MODO JANELA,FENSTERMODUS,窗口模式,MODE FENÊTRE
FRAME RATE,FRAME RATE,TAXA DE QUADROS,TAXA DE QUADROS,BILDRATE,帧率,FRÉQUENCE D'IMAGE
V-SYNC,V-SYNC,V-SYNC,V-SYNC,V-SYNC,垂直同步,Synchronisation verticale
FSR,FSR,FSR,FSR,FSR,频带宽度,FSR
LANGUAGE,LANGUAGE,LINGUAGEM,LINGUAGEM,SPRACHE,语言,LANGUE
GRAPHICS,GRAPHICS,GRÁFICOS,GRÁFICOS,GRAFIK,图形,GRAPHIQUE
PRESET,PRESET,PREDEFINIDO,PREDEFINIDO,VOREINSTELLUNG,预设,PRÉRÉGLAGE
RENDER DISTANCE,RENDER DISTANCE,DISTÂNCIA DE RENDERIZAÇÃO,DISTÂNCIA DE RENDERIZAÇÃO,Renderdistanz,渲染距离,DISTANCE DE RENDU
TERRRAIN QUALITY,TERRRAIN QUALITY,QUALIDADE DO TERRENO,QUALIDADE DO TERRENO,GELÄNDEQUALITÄT,地形质量,QUALITÉ DU TERRAIN
ENVINROMENT QUALITY,ENVINROMENT QUALITY,QUALIDADE AMBIENTAL,QUALIDADE AMBIENTAL,UMWELTQUALITÄT,环境质量,QUALITÉ DE L'ENVIRONNEMENT
VEGETATION QUALITY,VEGETATION QUALITY,QUALIDADE DA VEGETAÇÃO,QUALIDADE DA VEGETAÇÃO,VEGETATIONSQUALITÄT,植被质量,QUALITÉ DE LA VÉGÉTATION
TEXTURES QUALITY,TEXTURES QUALITY,QUALIDADE DAS TEXTURAS,QUALIDADE DAS TEXTURAS,TEXTURENQUALITÄT,纹理质量,QUALITÉ DES TEXTURES
EFFECTS QUALITY,EFFECTS QUALITY,QUALIDADE DOS EFEITOS,QUALIDADE DOS EFEITOS,EFFEKTQUALITÄT,效果质量,QUALITÉ DES EFFETS
PARTICLES QUALITY,PARTICLES QUALITY,QUALIDADE DAS PARTÍCULAS,QUALIDADE DAS PARTÍCULAS,PARTIKELQUALITÄT,颗粒质量,QUALITÉ DES PARTICULES
WINDOWED,WINDOWED,COM JANELA,COM JANELA,FENSTER,窗口,FENÊTRE
WINDOWED FULLSCREEN,WINDOWED FULLSCREEN,JANELA TELA CHEIA,JANELA TELA CHEIA,VOLLBILD-FENSTER,窗口全屏,FENÊTRE PLEIN ÉCRAN
FULLSCREEN,FULLSCREEN,TELA CHEIA,TELA CHEIA,VOLLBILD,全屏,PLEIN ÉCRAN
UNLIMITED,UNLIMITED,ILIMITADO,ILIMITADO,UNBEGRENZT,无限,ILLIMITÉ
DISABLED,DISABLED,DESABILITADO,DESABILITADO,DEAKTIVIERT,已禁用,DÉSACTIVÉ
ENABLED,ENABLED,HABILITADO,HABILITADO,ERMÖGLICHT,已启用,ACTIVÉ
PERFORMANCE,PERFORMANCE,DESEMPENHO,DESEMPENHO,LEISTUNG,表现,PERFORMANCE
BALANCED,BALANCED,EQUILIBRADO,EQUILIBRADO,AUSGEWOGEN,均衡,ÉQUILIBRÉ
QUALITY,QUALITY,QUALIDADE,QUALIDADE,QUALITÄT,质量,QUALITÉ
LOW,LOW,BAIXO,BAIXO,NIEDRIG,低的,FAIBLE
HIGH,HIGH,ALTO,ALTO,HOCH,高的,HAUT
EPIC,EPIC,ÉPICO,ÉPICO,EPOS,史诗,ÉPIQUE
AUTOJUMP,AUTOJUMP,SALTO AUTOMÁTICO,SALTO AUTOMÁTICO,AUTOJUMP,自动跳跃,SAUT AUTOMATIQUE
CAMERA TRICKNESS,CAMERA TRICKNESS,TRUQUE DE CÂMERA,TRUQUE DE CÂMERA,KAMERA-TRICKS,镜头技巧,ASTUCE DE CAMÉRA
DYNAMIC FOV,DYNAMIC FOV,FOV DINÂMICO,FOV DINÂMICO,DYNAMISCHES FOV,动态视野,Champ de vision dynamique
REDUCED,REDUCED,REDUZIDO,REDUZIDO,REDUZIERT,减少,RÉDUIT
GENERAL VOLUME,GENERAL VOLUME,VOLUME GERAL,VOLUME GERAL,ALLGEMEINE LAUTSTÄRKE,总卷,VOLUME GÉNÉRAL
MUSICS VOLUME,MUSICS VOLUME,VOLUME DE MÚSICAS,VOLUME DE MÚSICAS,MUSIK-LAUTSTÄRKE,音乐音量,VOLUME DE LA MUSIQUE
ENEMYS VOLUME,ENEMYS VOLUME,VOLUME DE INIMIGOS,VOLUME DE INIMIGOS,Feindesvolumen,敌人音量,VOLUME ENNEMIS
VEHICLES VOLUME,VEHICLES VOLUME,VOLUME DE VEÍCULOS,VOLUME DE VEÍCULOS,FAHRZEUGBAND,车辆数量,VOLUME DES VÉHICULES
EFFECTS VOLUME,EFFECTS VOLUME,VOLUME DE EFEITOS,VOLUME DE EFEITOS,EFFEKTLAUTSTÄRKE,效果音量,VOLUME DES EFFETS
MOVE FORWARD,MOVE FORWARD,SEGUIR EM FRENTE,SEGUIR EM FRENTE,VORWÄRTSGEHEN,前进,AVANCER
MOVE BACKWARD,MOVE BACKWARD,MOVER PARA TRÁS,MOVER PARA TRÁS,RÜCKWÄRTS BEWEGEN,向后移动,RECULER
MOVE LEFT,MOVE LEFT,MOVER PARA A ESQUERDA,MOVER PARA A ESQUERDA,NACH LINKS BEWEGEN,向左移动,DÉPLACER À GAUCHE
MOVE RIGHT,MOVE RIGHT,MOVER PARA A DIREITA,MOVER PARA A DIREITA,NACH RECHTS BEWEGEN,向右移动,DÉPLACEZ-VOUS À DROITE
JUMP,JUMP,PULAR,PULAR,SPRINGEN,跳,SAUT
SPRING,SPRING,PRIMAVERA,PRIMAVERA,FRÜHLING,春天,PRINTEMPS
CROUCH,CROUCH,AGACHE-SE,AGACHE-SE,HOCKEN,蹲伏,ACCROUPISSEMENT
RISE,RISE,ASCENDER,ASCENDER,ERHEBEN,上升,AUGMENTER
COLLECT,COLLECT,COLECIONAR,COLECIONAR,SAMMELN,收集,COLLECTER
INTERACT,INTERACT,INTERAGIR,INTERAGIR,INTERAGIEREN,相互影响,INTERAGIR
ACTION,ACTION,AÇÃO,AÇÃO,AKTION,行动,ACTION
DEFENSE,DEFENSE,DEFESA,DEFESA,VERTEIDIGUNG,防御,DÉFENSE
AIM,AIM,MIRAR,MIRAR,ZIEL,目的,BUT
LEFT HOTBAR SLOT,LEFT HOTBAR SLOT,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,LINKER HOTBAR-SLOT,左侧快捷栏插槽,EMPLACEMENT DE LA BARRE DE RACCOURCIS GAUCHE
NEXT HOT SLOT,NEXT HOT SLOT,PRÓXIMO SLOT QUENTE,PRÓXIMO SLOT QUENTE,NÄCHSTER HEISSER SLOT,下一个热门老虎机,PROCHAIN ​​MACHINE À SOUS CHAUDE
INVENTORY,INVENTORY,INVENTÁRIO,INVENTÁRIO,INVENTAR,存货,INVENTAIRE
PAUSE,PAUSE,PAUSA,PAUSA,PAUSE,暂停,PAUSE
CHAT,CHAT,BATER PAPO,BATER PAPO,CHAT,聊天,CHAT
APPLY,APPLY,APLICAR,APLICAR,ANWENDEN,申请,APPLIQUER
RECIPES,RECIPES,RECEITAS,RECEITAS,REZEPTE,食谱,RECETTES
CRAFT TYPE,CRAFT TYPE,TIPO DE EMBARCAÇÃO,TIPO DE EMBARCAÇÃO,FAHRZEUGTYP,工艺类型,TYPE D'EMBARCATION
CRAFT QUANTITY,CRAFT QUANTITY,QUANTIDADE DE ARTESANATO,QUANTIDADE DE ARTESANATO,HANDWERKSMENGE,工艺数量,QUANTITÉ D'ARTISANAT
RECIPE,RECIPE,RECEITA,RECEITA,REZEPT,食谱,RECETTE
CRAFT,CRAFT,ARTE,ARTE,HANDWERK,工艺,ARTISANAT
GUNS BENCH,GUNS BENCH,BANCO DE ARMAS,BANCO DE ARMAS,Waffenbank,枪支工作台,BANC D'ARMES À FEU
DAMAGE,DAMAGE,DANO,DANO,SCHADEN,损害,DOMMAGE
FIRE CADENSE,FIRE CADENSE,CADENSE DE FOGO,CADENSE DE FOGO,FEUERKADENSE,火焰节奏,CADENCE DE FEU
RELOAD TIME,RELOAD TIME,TEMPO DE RECARGA,TEMPO DE RECARGA,NACHLADEZEIT,重新加载时间,TEMPS DE RECHARGEMENT
MAX AMMO,MAX AMMO,MÁXIMA MUNIÇÃO,MÁXIMA MUNIÇÃO,MAXIMALE MUNITION,最大弹药,MUNITIONS MAX
RECOIL,RECOIL,RECUO,RECUO,RÜCKSTOSS,畏缩,RECUL
PRECISION,PRECISION,PRECISÃO,PRECISÃO,PRÄZISION,精确,PRÉCISION
FIRE RANGE,FIRE RANGE,Campo de tiro,Campo de tiro,FEUERSTAND,射击场,CHAMP DE TIR
MODIFICATIONS,MODIFICATIONS,MODIFICAÇÕES,MODIFICAÇÕES,ÄNDERUNGEN,修改,MODIFICATIONS
MOD NAME,MOD NAME,NOME DO MOD,NOME DO MOD,MOD-NAME,模组名称,NOM DU MOD
MODIFY,MODIFY,MODIFICAR,MODIFICAR,ÄNDERN,调整,MODIFIER
PAUSE MENU,PAUSE MENU,MENU DE PAUSA,MENU DE PAUSA,PAUSEMENÜ,暂停菜单,MENU PAUSE
RESUME,RESUME,RETOMAR,RETOMAR,WIEDER AUFNEHMEN,恢复,CONTINUER
SAVE,SAVE,SALVAR,SALVAR,SPEICHERN,节省,SAUVEGARDER
MENU,MENU,MENU,MENU,SPEISEKARTE,菜单,MENU
QUIT,QUIT,DESISTIR,DESISTIR,AUFHÖREN,辞职,QUITTER